TRIP ID,START TIME,STOP TIME,BIKE ID,TRIP DURATION,FROM STATION ID,FROM LATITUDE,FROM LONGITUDE,FROM LOCATION,TO LATITUDE,TO LONGITUDE,TO LOCATION
1113602,1/10/14 8:57,1/10/14 9:04,1168,456,5,41.874053,-87.627716,POINT (-87.627716 41.874053),41.886024,-87.624117,POINT (-87.624117 41.886024)
1113641,1/10/14 9:09,1/10/14 9:19,2738,580,54,41.89636246,-87.65406127,POINT (-87.654061 41.896362),41.894666,-87.638437,POINT (-87.638437 41.894666)
1113649,1/10/14 9:15,1/10/14 9:42,796,1637,76,41.880958,-87.616743,POINT (-87.616743 41.880958),41.880958,-87.616743,POINT (-87.616743 41.880958)
1113734,1/10/14 9:44,1/10/14 10:11,796,1645,76,41.880958,-87.616743,POINT (-87.616743 41.880958),41.884451,-87.629892,POINT (-87.629892 41.884451)
1113757,1/10/14 9:51,1/10/14 10:00,20,499,52,41.886024,-87.624117,POINT (-87.624117 41.886024),41.882091,-87.639833,POINT (-87.639833 41.882091)
1113891,1/10/14 11:09,1/10/14 11:14,2118,284,112,41.884078,-87.648684,POINT (-87.648684 41.884078),41.880422,-87.642746,POINT (-87.642746 41.880422)
1113987,1/10/14 11:43,1/10/14 11:51,97,459,274,41.861267,-87.656625,POINT (-87.656625 41.861267),41.87464,-87.65703,POINT (-87.65703 41.87464)
1114049,1/10/14 12:02,1/10/14 12:20,854,1044,183,41.899714,-87.677234,POINT (-87.677234 41.899714),41.913778,-87.64884,POINT (-87.64884 41.913778)
1114216,1/10/14 13:09,1/10/14 13:15,20,375,174,41.882091,-87.639833,POINT (-87.639833 41.882091),41.872373,-87.633523,POINT (-87.633523 41.872373)
1114221,1/10/14 13:13,1/10/14 13:17,65,274,192,41.879255,-87.639904,POINT (-87.639904 41.879255),41.881892,-87.648789,POINT (-87.648789 41.881892)
1114273,1/10/14 13:34,1/10/14 13:40,2101,385,175,41.872373,-87.633523,POINT (-87.633523 41.872373),41.882091,-87.639833,POINT (-87.639833 41.882091)
1114277,1/10/14 13:36,1/10/14 13:41,1938,318,198,41.881892,-87.648789,POINT (-87.648789 41.881892),41.879255,-87.639904,POINT (-87.639904 41.879255)
1114328,1/10/14 13:53,1/10/14 13:59,1088,362,224,41.913778,-87.64884,POINT (-87.64884 41.913778),41.925905,-87.64926,POINT (-87.64926 41.925905)
1114405,1/10/14 14:19,1/10/14 14:53,2499,2094,59,41.867227,-87.625961,POINT (-87.625961 41.867227),41.867227,-87.625961,POINT (-87.625961 41.867227)
1114422,1/10/14 14:30,1/10/14 15:28,1976,3487,219,41.916027,-87.677411,POINT (-87.677411 41.916027),41.90939601,-87.67769193,POINT (-87.677692 41.909396)
1114476,1/10/14 15:02,1/10/14 15:10,1,488,127,41.925905,-87.64926,POINT (-87.64926 41.925905),41.913778,-87.64884,POINT (-87.64884 41.913778)
1114589,1/10/14 15:47,1/10/14 16:54,1976,3979,69,41.90939601,-87.67769193,POINT (-87.677692 41.909396),41.916027,-87.677411,POINT (-87.677411 41.916027)
1114599,1/10/14 15:57,1/10/14 16:05,1535,509,47,41.88918,-87.6277,POINT (-87.6277 41.88918),41.89680204,-87.63563839,POINT (-87.635638 41.896802)
1114602,1/10/14 15:58,1/10/14 16:04,2709,346,73,41.880422,-87.642746,POINT (-87.642746 41.880422),41.884078,-87.648684,POINT (-87.648684 41.884078)
1114638,1/10/14 16:29,1/10/14 16:47,2095,1098,20,41.90959193,-87.65349723,POINT (-87.653497 41.909592),41.902893,-87.687275,POINT (-87.687275 41.902893)
1114645,1/10/14 16:33,1/10/14 16:38,1553,281,31,41.89680204,-87.63563839,POINT (-87.635638 41.896802),41.893882,-87.641711,POINT (-87.641711 41.893882)
1114664,1/10/14 16:51,1/10/14 16:58,940,438,197,41.882134,-87.625125,POINT (-87.625125 41.882134),41.882091,-87.639833,POINT (-87.639833 41.882091)
1114677,1/10/14 17:03,1/10/14 17:09,764,358,318,41.954177,-87.664358,POINT (-87.664358 41.954177),41.94815,-87.66394,POINT (-87.66394 41.94815)
1115050,1/10/14 23:13,1/10/14 23:21,1031,471,32,41.87464,-87.65703,POINT (-87.65703 41.87464),41.858166,-87.656495,POINT (-87.656495 41.858166)
1115080,1/11/14 1:07,1/11/14 1:24,1672,968,52,41.886024,-87.624117,POINT (-87.624117 41.886024),41.886024,-87.624117,POINT (-87.624117 41.886024)
1115081,1/11/14 1:08,1/11/14 1:23,2018,948,52,41.886024,-87.624117,POINT (-87.624117 41.886024),41.886024,-87.624117,POINT (-87.624117 41.886024)
1115098,1/11/14 5:55,1/11/14 6:03,1810,495,136,41.865054,-87.656959,POINT (-87.656959 41.865054),41.869154,-87.671045,POINT (-87.671045 41.869154)
1115151,1/11/14 7:51,1/11/14 7:59,47,439,274,41.861267,-87.656625,POINT (-87.656625 41.861267),41.877945,-87.662007,POINT (-87.662007 41.877945)
1115161,1/11/14 8:15,1/11/14 8:27,868,730,66,41.885464,-87.641253,POINT (-87.641253 41.885464),41.867227,-87.625961,POINT (-87.625961 41.867227)
1115178,1/11/14 8:29,1/11/14 10:14,2908,6285,118,41.911386,-87.638677,POINT (-87.638677 41.911386),41.88389277,-87.62464914,POINT (-87.624649 41.883893)
1115181,1/11/14 8:36,1/11/14 8:48,2829,707,15,41.858166,-87.656495,POINT (-87.656495 41.858166),41.880456,-87.653929,POINT (-87.653929 41.880456)
1115191,1/11/14 8:50,1/11/14 8:54,1758,262,301,41.907993,-87.631501,POINT (-87.631501 41.907993),41.915689,-87.6346,POINT (-87.6346 41.915689)
1115226,1/11/14 9:27,1/11/14 9:39,868,711,59,41.867227,-87.625961,POINT (-87.625961 41.867227),41.885464,-87.641253,POINT (-87.641253 41.885464)
1115294,1/11/14 10:02,1/11/14 10:11,1401,516,94,41.918306,-87.636282,POINT (-87.636282 41.918306),41.928712,-87.653833,POINT (-87.653833 41.928712)
1115350,1/11/14 10:22,1/11/14 10:41,1947,1119,199,41.891738,-87.626937,POINT (-87.626937 41.891738),41.908537,-87.648627,POINT (-87.648627 41.908537)
1115402,1/11/14 10:39,1/11/14 10:46,1810,435,317,41.869154,-87.671045,POINT (-87.671045 41.869154),41.861267,-87.656625,POINT (-87.656625 41.861267)
1115448,1/11/14 10:57,1/11/14 11:14,1674,1008,217,41.886773,-87.656001,POINT (-87.656001 41.886773),41.899714,-87.677234,POINT (-87.677234 41.899714)
1115470,1/11/14 11:09,1/11/14 11:26,1345,976,350,41.895966,-87.667747,POINT (-87.667747 41.895966),41.908537,-87.648627,POINT (-87.648627 41.908537)
1115474,1/11/14 11:10,1/11/14 11:31,2348,1229,331,41.908537,-87.648627,POINT (-87.648627 41.908537),41.891738,-87.626937,POINT (-87.626937 41.891738)
1115494,1/11/14 11:17,1/11/14 11:24,561,421,291,41.906724,-87.63483,POINT (-87.63483 41.906724),41.91057804,-87.64942193,POINT (-87.649422 41.910578)
1115511,1/11/14 11:21,1/11/14 15:31,119,14985,231,41.96167,-87.65464,POINT (-87.65464 41.96167),41.967968,-87.650001,POINT (-87.650001 41.967968)
1115551,1/11/14 11:40,1/11/14 11:46,2750,388,232,41.949275,-87.646303,POINT (-87.646303 41.949275),41.937725,-87.644095,POINT (-87.644095 41.937725)
1115665,1/11/14 12:13,1/11/14 12:23,2039,582,115,41.936253,-87.653566,POINT (-87.653566 41.936253),41.92888,-87.66317,POINT (-87.66317 41.92888)
1115789,1/11/14 12:48,1/11/14 13:09,2901,1262,24,41.89186,-87.62062,POINT (-87.62062 41.89186),41.896544,-87.630931,POINT (-87.630931 41.896544)
1115828,1/11/14 13:13,1/11/14 13:25,685,688,80,41.880456,-87.653929,POINT (-87.653929 41.880456),41.858166,-87.656495,POINT (-87.656495 41.858166)
1115869,1/11/14 13:24,1/11/14 13:30,2750,355,300,41.937725,-87.644095,POINT (-87.644095 41.937725),41.949275,-87.646303,POINT (-87.646303 41.949275)
1115894,1/11/14 13:33,1/11/14 13:46,2522,796,239,41.966555,-87.688487,POINT (-87.688487 41.966555),41.946176,-87.673308,POINT (-87.673308 41.946176)
1115981,1/11/14 14:08,1/11/14 14:22,2802,872,212,41.889933,-87.634262,POINT (-87.634262 41.889933),41.894448,-87.622663,POINT (-87.622663 41.894448)
1116018,1/11/14 14:22,1/11/14 14:28,1715,348,110,41.893992,-87.629318,POINT (-87.629318 41.893992),41.89766,-87.62351,POINT (-87.62351 41.89766)
1116043,1/11/14 14:30,1/11/14 14:39,1605,565,292,41.957081,-87.664199,POINT (-87.664199 41.957081),41.939743,-87.658865,POINT (-87.658865 41.939743)
1116051,1/11/14 14:32,1/11/14 14:46,1715,797,25,41.89766,-87.62351,POINT (-87.62351 41.89766),41.891071,-87.6122,POINT (-87.6122 41.891071)
1116111,1/11/14 14:46,1/11/14 15:04,2668,1086,47,41.88918,-87.6277,POINT (-87.6277 41.88918),41.906724,-87.63483,POINT (-87.63483 41.906724)
1116138,1/11/14 14:53,1/11/14 15:17,180,1443,350,41.895966,-87.667747,POINT (-87.667747 41.895966),41.894448,-87.622663,POINT (-87.622663 41.894448)
1116161,1/11/14 15:02,1/11/14 15:17,1850,889,134,41.877749,-87.649633,POINT (-87.649633 41.877749),41.885837,-87.6355,POINT (-87.6355 41.885837)
1116168,1/11/14 15:05,1/11/14 15:31,1715,1605,35,41.891071,-87.6122,POINT (-87.6122 41.891071),41.911722,-87.626804,POINT (-87.626804 41.911722)
1116169,1/11/14 15:06,1/11/14 15:19,2668,799,291,41.906724,-87.63483,POINT (-87.63483 41.906724),41.925905,-87.64926,POINT (-87.64926 41.925905)
1116193,1/11/14 15:14,1/11/14 15:24,677,598,47,41.88918,-87.6277,POINT (-87.6277 41.88918),41.89680204,-87.63563839,POINT (-87.635638 41.896802)
1116205,1/11/14 15:19,1/11/14 15:41,1850,1307,164,41.885837,-87.6355,POINT (-87.6355 41.885837),41.891071,-87.6122,POINT (-87.6122 41.891071)
1116213,1/11/14 15:21,1/11/14 15:32,2668,624,127,41.925905,-87.64926,POINT (-87.64926 41.925905),41.94018,-87.65304,POINT (-87.65304 41.94018)
1116287,1/11/14 15:36,1/11/14 15:53,1715,1022,268,41.911722,-87.626804,POINT (-87.626804 41.911722),41.921822,-87.64414,POINT (-87.64414 41.921822)
1116318,1/11/14 15:42,1/11/14 16:00,1850,1035,35,41.891071,-87.6122,POINT (-87.6122 41.891071),41.891071,-87.6122,POINT (-87.6122 41.891071)
1116331,1/11/14 15:48,1/11/14 16:43,1797,3334,43,41.88389277,-87.62464914,POINT (-87.624649 41.883893),41.8810317,-87.62408432,POINT (-87.624084 41.881032)
1116393,1/11/14 16:00,1/11/14 16:22,1850,1287,35,41.891071,-87.6122,POINT (-87.6122 41.891071),41.877749,-87.649633,POINT (-87.649633 41.877749)
1116416,1/11/14 16:09,1/11/14 16:20,677,620,31,41.89680204,-87.63563839,POINT (-87.635638 41.896802),41.88918,-87.6277,POINT (-87.6277 41.88918)
1116427,1/11/14 16:12,1/11/14 16:18,2223,403,117,41.94018,-87.65304,POINT (-87.65304 41.94018),41.935733,-87.663576,POINT (-87.663576 41.935733)
